episode,game,exploration,explored,safe,MA_explored,MA_safe
72,['100+49sin((2pi/26)t)+0e'],48.0,36.0,96.1,3.7,84.8
73,['100+49sin((2pi/2)t)+0e'],47.5,27.2,0.0,4.0,84.7
74,['100+49sin((2pi/19)t)+0e'],47.1,30.8,96.3,4.2,84.8
75,['100+49sin((2pi/33)t)+0e'],46.6,32.6,91.1,4.3,84.9
76,['100+49sin((2pi/13)t)+0e'],46.1,14.1,84.1,4.3,84.8
77,['100+49sin((2pi/36)t)+0e'],45.7,49.0,91.3,5.5,84.9
78,['100+49sin((2pi/19)t)+0e'],45.2,49.3,95.0,6.6,85.0
79,['100+49sin((2pi/24)t)+0e'],44.8,33.1,96.6,6.8,85.9
80,['100+49sin((2pi/13)t)+0e'],44.3,44.0,93.1,7.1,86.7
81,['100+49sin((2pi/10)t)+0e'],43.9,26.3,96.2,7.8,87.3
82,['100+49sin((2pi/31)t)+0e'],43.4,20.7,88.5,8.6,87.8
83,['100+49sin((2pi/6)t)+0e'],43.0,47.1,96.1,8.8,87.9
84,['100+49sin((2pi/4)t)+0e'],42.6,43.0,-1.5,9.0,87.8
85,['100+49sin((2pi/12)t)+0e'],42.1,36.3,89.9,9.4,87.9
86,['100+49sin((2pi/36)t)+0e'],41.7,49.7,79.3,9.8,87.8
87,['100+49sin((2pi/32)t)+0e'],41.3,43.4,95.4,10.1,87.9
88,['100+49sin((2pi/18)t)+0e'],40.9,34.6,95.8,10.4,87.9
89,['100+49sin((2pi/37)t)+0e'],40.5,52.1,92.5,10.7,88.2
90,['100+49sin((2pi/24)t)+0e'],40.1,54.7,94.9,11.0,88.5
91,['100+49sin((2pi/34)t)+0e'],39.7,46.3,95.9,12.1,88.9
92,['100+49sin((2pi/18)t)+0e'],39.3,-75282.4,95.8,11.0,89.4
93,['100+49sin((2pi/24)t)+0e'],38.9,-62190.5,94.9,10.7,89.6
94,['100+49sin((2pi/29)t)+0e'],38.5,52.1,96.1,11.0,89.8
95,['100+49sin((2pi/15)t)+0e'],38.1,-65464.6,96.4,10.7,89.8
96,['100+49sin((2pi/37)t)+0e'],37.7,49.3,94.6,11.0,89.9
97,['100+49sin((2pi/11)t)+0e'],37.3,34.2,84.8,12.1,89.8
98,['100+49sin((2pi/16)t)+0e'],37.0,58.9,96.6,13.2,89.9
99,['100+49sin((2pi/23)t)+0e'],36.6,43.9,95.5,13.7,89.9
100,['100+49sin((2pi/16)t)+0e'],36.2,55.9,96.6,14.3,90.0
101,['100+49sin((2pi/8)t)+0e'],35.9,51.9,96.6,14.7,90.7
