episode,game,exploration,explored,safe,MA_explored,MA_safe,test
78,['100+49sin((2pi/38)t)+0e'],10.0,88.1,98.1,74.2,95.2,680.8
79,['100+49sin((2pi/36)t)+0e'],10.0,89.2,94.9,74.3,95.2,249.4
80,['100+49sin((2pi/31)t)+0e'],10.0,75.3,97.0,74.3,95.2,732.3
81,['100+49sin((2pi/33)t)+0e'],10.0,87.2,96.6,74.3,95.3,547.4
82,['100+49sin((2pi/39)t)+0e'],10.0,71.7,95.1,74.3,95.2,254.6
83,['100+49sin((2pi/35)t)+0e'],10.0,88.7,95.4,74.3,95.3,284.9
84,['100+49sin((2pi/34)t)+0e'],10.0,87.1,97.1,74.3,95.3,699.2
85,['100+49sin((2pi/36)t)+0e'],10.0,82.2,94.3,74.8,95.3,275.1
86,['100+49sin((2pi/31)t)+0e'],10.0,83.5,94.2,75.3,95.2,289.6
87,['100+49sin((2pi/32)t)+0e'],10.0,89.2,95.0,75.4,95.2,381.1
88,['100+49sin((2pi/38)t)+0e'],10.0,79.8,98.1,75.4,95.2,694.1
89,['100+49sin((2pi/33)t)+0e'],10.0,88.1,95.9,75.6,95.3,384.5
90,['100+49sin((2pi/31)t)+0e'],10.0,74.7,95.0,75.4,95.2,316.0
91,['100+49sin((2pi/32)t)+0e'],10.0,86.5,96.3,75.6,95.3,396.7
92,['100+49sin((2pi/38)t)+0e'],10.0,83.6,97.9,75.9,95.3,613.7
93,['100+49sin((2pi/31)t)+0e'],10.0,79.7,95.5,75.9,95.3,348.2
94,['100+49sin((2pi/35)t)+0e'],10.0,80.5,96.8,76.0,95.3,493.9
95,['100+49sin((2pi/31)t)+0e'],10.0,86.3,95.5,76.2,95.4,346.2
96,['100+49sin((2pi/31)t)+0e'],10.0,96.0,96.8,76.5,95.4,491.4
97,['100+49sin((2pi/31)t)+0e'],10.0,91.5,94.7,76.7,95.4,527.5
98,['100+49sin((2pi/37)t)+0e'],10.0,92.9,98.2,77.0,95.4,734.9
99,['100+49sin((2pi/32)t)+0e'],10.0,81.8,95.7,77.0,95.4,470.3
