episode,game,exploration,explored,safe,MA_explored,MA_safe,test
68,['100+49sin((2pi/39)t)+0e'],10.1,76.4,96.7,75.7,95.1,400.9
69,['100+49sin((2pi/30)t)+0e'],10.1,81.7,95.1,75.8,95.1,340.0
70,['100+49sin((2pi/33)t)+0e'],10.1,81.0,96.3,75.9,95.1,483.1
71,['100+49sin((2pi/32)t)+0e'],10.1,64.9,97.0,75.8,95.2,541.8
72,['100+49sin((2pi/30)t)+0e'],10.1,68.8,97.1,75.7,95.2,776.3
73,['100+49sin((2pi/39)t)+0e'],10.0,89.6,93.8,75.8,95.2,667.3
74,['100+49sin((2pi/35)t)+0e'],10.0,81.4,96.7,75.9,95.2,730.3
75,['100+49sin((2pi/32)t)+0e'],10.0,87.7,95.0,76.1,95.2,314.6
76,['100+49sin((2pi/37)t)+0e'],10.0,77.6,94.2,76.2,95.1,268.3
77,['100+49sin((2pi/39)t)+0e'],10.0,85.4,95.9,76.3,95.2,365.0
78,['100+49sin((2pi/35)t)+0e'],10.0,66.9,94.8,76.2,95.1,249.0
79,['100+49sin((2pi/34)t)+0e'],10.0,73.5,94.7,76.1,95.1,271.5
80,['100+49sin((2pi/30)t)+0e'],10.0,77.3,95.0,76.2,95.1,315.0
81,['100+49sin((2pi/33)t)+0e'],10.0,87.5,96.3,76.3,95.1,365.3
82,['100+49sin((2pi/30)t)+0e'],10.0,87.1,94.9,76.4,95.1,310.0
83,['100+49sin((2pi/36)t)+0e'],10.0,76.3,95.2,76.3,95.1,264.5
84,['100+49sin((2pi/37)t)+0e'],10.0,76.2,93.9,76.3,95.1,248.5
85,['100+49sin((2pi/30)t)+0e'],10.0,87.7,95.5,76.3,95.1,440.4
86,['100+49sin((2pi/32)t)+0e'],10.0,70.5,94.0,76.3,95.1,272.3
87,['100+49sin((2pi/35)t)+0e'],10.0,87.5,95.0,76.3,95.1,249.7
88,['100+49sin((2pi/32)t)+0e'],10.0,80.8,94.9,76.4,95.0,316.4
89,['100+49sin((2pi/33)t)+0e'],10.0,92.9,95.5,76.8,95.1,353.3
90,['100+49sin((2pi/33)t)+0e'],10.0,84.8,98.1,77.2,95.1,859.7
91,['100+49sin((2pi/31)t)+0e'],10.0,90.3,96.2,77.2,95.1,466.8
92,['100+49sin((2pi/31)t)+0e'],10.0,72.7,96.1,77.2,95.1,405.6
93,['100+49sin((2pi/39)t)+0e'],10.0,80.1,92.4,77.2,95.1,248.3
94,['100+49sin((2pi/31)t)+0e'],10.0,81.9,97.0,77.3,95.1,430.3
95,['100+49sin((2pi/37)t)+0e'],10.0,76.0,94.4,77.2,95.1,291.7
96,['100+49sin((2pi/31)t)+0e'],10.0,80.5,96.9,77.3,95.1,419.5
97,['100+49sin((2pi/31)t)+0e'],10.0,67.9,98.0,77.2,95.2,824.9
98,['100+49sin((2pi/39)t)+0e'],10.0,80.8,91.4,77.3,95.1,236.2
99,['100+49sin((2pi/33)t)+0e'],10.0,80.7,96.8,77.4,95.2,612.5
