episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+49sin((2pi/39)t)+0e'],99.0,-43.3,12.5,-43.3,12.5
1,['100+49sin((2pi/39)t)+0e'],98.0,-26.5,95.9,-34.9,54.2
2,['100+49sin((2pi/39)t)+0e'],97.0,-34.9,95.5,-34.9,95.5
3,['100+49sin((2pi/39)t)+0e'],96.1,-38.4,95.9,-36.7,95.7
4,['100+49sin((2pi/39)t)+0e'],95.1,-19.8,95.5,-34.9,95.5
5,['100+49sin((2pi/39)t)+0e'],94.1,-40.8,96.1,-36.7,95.7
6,['100+49sin((2pi/39)t)+0e'],93.2,-40.7,95.9,-38.4,95.9
7,['100+49sin((2pi/39)t)+0e'],92.3,-48.2,94.1,-39.6,95.7
8,['100+49sin((2pi/39)t)+0e'],91.4,-31.2,95.5,-38.4,95.5
9,['100+49sin((2pi/39)t)+0e'],90.4,-28.0,94.8,-36.7,95.5
10,['100+49sin((2pi/39)t)+0e'],89.5,-9.6,95.9,-34.9,95.5
11,['100+49sin((2pi/39)t)+0e'],88.6,-13.4,95.9,-33.0,95.7
12,['100+49sin((2pi/39)t)+0e'],87.8,-26.5,95.5,-31.2,95.5
13,['100+49sin((2pi/39)t)+0e'],86.9,-4.6,96.1,-29.6,95.7
14,['100+49sin((2pi/39)t)+0e'],86.0,-36.8,95.9,-31.2,95.9
15,['100+49sin((2pi/39)t)+0e'],85.1,-26.2,95.9,-29.6,95.9
16,['100+49sin((2pi/39)t)+0e'],84.3,-9.6,95.9,-28.0,95.9
17,['100+49sin((2pi/39)t)+0e'],83.5,-22.6,95.5,-27.3,95.9
