episode,game,exploration,explored,safe,MA_explored,MA_safe,test
68,['100+49sin((2pi/34)t)+0e'],10.1,78.6,95.7,74.8,94.5,291.4
69,['100+49sin((2pi/34)t)+0e'],10.1,81.5,97.2,75.2,94.5,712.3
70,['100+49sin((2pi/30)t)+0e'],10.1,79.2,93.2,75.6,94.5,305.4
71,['100+49sin((2pi/34)t)+0e'],10.1,89.0,95.8,76.2,94.5,426.0
72,['100+49sin((2pi/39)t)+0e'],10.1,75.8,93.0,75.8,94.5,285.9
73,['100+49sin((2pi/38)t)+0e'],10.0,86.6,97.0,76.3,94.5,735.1
74,['100+49sin((2pi/37)t)+0e'],10.0,75.1,97.3,75.8,94.5,741.5
75,['100+49sin((2pi/31)t)+0e'],10.0,91.6,96.5,76.3,94.5,786.2
76,['100+49sin((2pi/31)t)+0e'],10.0,73.4,95.8,75.8,94.6,499.3
77,['100+49sin((2pi/37)t)+0e'],10.0,77.4,90.6,76.3,94.5,231.2
78,['100+49sin((2pi/35)t)+0e'],10.0,88.4,95.1,76.9,94.6,254.8
79,['100+49sin((2pi/38)t)+0e'],10.0,68.0,92.2,76.3,94.5,213.8
80,['100+49sin((2pi/32)t)+0e'],10.0,70.8,93.0,75.8,94.5,255.5
81,['100+49sin((2pi/39)t)+0e'],10.0,84.2,92.6,76.3,94.5,192.7
82,['100+49sin((2pi/32)t)+0e'],10.0,85.9,95.1,76.9,94.5,421.9
83,['100+49sin((2pi/33)t)+0e'],10.0,71.4,97.8,76.3,94.5,834.3
84,['100+49sin((2pi/37)t)+0e'],10.0,92.0,94.1,76.9,94.5,241.7
85,['100+49sin((2pi/38)t)+0e'],10.0,86.8,92.7,76.9,94.5,233.4
86,['100+49sin((2pi/33)t)+0e'],10.0,72.3,97.4,76.9,94.5,707.9
87,['100+49sin((2pi/36)t)+0e'],10.0,77.3,97.0,76.9,94.5,429.4
88,['100+49sin((2pi/38)t)+0e'],10.0,87.4,95.9,76.9,94.6,310.4
89,['100+49sin((2pi/30)t)+0e'],10.0,86.2,95.8,77.1,94.7,635.5
90,['100+49sin((2pi/32)t)+0e'],10.0,73.1,93.9,76.9,94.6,254.6
91,['100+49sin((2pi/37)t)+0e'],10.0,80.8,97.6,77.1,94.7,585.7
92,['100+49sin((2pi/36)t)+0e'],10.0,87.7,96.4,77.3,94.8,362.1
93,['100+49sin((2pi/32)t)+0e'],10.0,63.4,97.8,77.1,94.8,866.9
94,['100+49sin((2pi/36)t)+0e'],10.0,79.6,94.6,77.3,94.8,291.3
95,['100+49sin((2pi/32)t)+0e'],10.0,82.2,97.6,77.4,94.8,724.3
96,['100+49sin((2pi/31)t)+0e'],10.0,94.1,97.7,77.4,94.8,697.1
97,['100+49sin((2pi/38)t)+0e'],10.0,80.3,97.0,77.6,94.8,446.9
98,['100+49sin((2pi/39)t)+0e'],10.0,68.9,98.1,77.4,94.8,688.0
99,['100+49sin((2pi/30)t)+0e'],10.0,91.4,96.5,77.6,94.9,491.4
