episode,game,exploration,explored,safe,MA_explored,MA_safe
0,['100+49sin((2pi/39)t)+0e'],99.0,-65.7,96.4,-65.7,96.4
1,['100+49sin((2pi/39)t)+0e'],98.0,-80.2,97.0,-73.0,96.7
2,['100+49sin((2pi/39)t)+0e'],97.0,-68.8,92.6,-68.8,96.4
3,['100+49sin((2pi/39)t)+0e'],96.1,0.9,96.9,-67.3,96.7
4,['100+49sin((2pi/39)t)+0e'],95.1,-1.8,91.7,-65.7,96.4
5,['100+49sin((2pi/39)t)+0e'],94.1,-64.8,95.5,-65.3,96.0
6,['100+49sin((2pi/39)t)+0e'],93.2,-69.2,97.3,-65.7,96.4
7,['100+49sin((2pi/39)t)+0e'],92.3,-11.0,98.0,-65.3,96.7
8,['100+49sin((2pi/39)t)+0e'],91.4,-16.0,93.4,-64.8,96.4
