episode,game,exploration,explored,safe,MA_explored,MA_safe
73,['100+49sin((2pi/38)t)+0e'],47.5,21.9,98.2,5.4,94.8
74,['100+49sin((2pi/38)t)+0e'],47.1,9.5,97.1,5.5,94.9
75,['100+49sin((2pi/39)t)+0e'],46.6,37.3,90.5,5.7,94.8
76,['100+49sin((2pi/38)t)+0e'],46.1,41.7,92.6,5.9,94.8
77,['100+49sin((2pi/35)t)+0e'],45.7,40.1,94.5,6.3,94.7
78,['100+49sin((2pi/37)t)+0e'],45.2,36.9,95.1,6.7,94.8
79,['100+49sin((2pi/39)t)+0e'],44.8,26.7,91.3,7.1,94.7
80,['100+49sin((2pi/36)t)+0e'],44.3,23.8,94.1,7.6,94.7
81,['100+49sin((2pi/38)t)+0e'],43.9,45.1,92.8,8.5,94.7
82,['100+49sin((2pi/38)t)+0e'],43.4,40.5,98.1,9.5,94.7
83,['100+49sin((2pi/35)t)+0e'],43.0,13.7,94.4,9.7,94.7
84,['100+49sin((2pi/37)t)+0e'],42.6,27.0,94.9,9.8,94.7
85,['100+49sin((2pi/38)t)+0e'],42.1,30.4,94.1,10.4,94.7
86,['100+49sin((2pi/35)t)+0e'],41.7,22.2,94.2,11.0,94.6
87,['100+49sin((2pi/38)t)+0e'],41.3,55.5,95.5,11.6,94.7
88,['100+49sin((2pi/37)t)+0e'],40.9,44.0,94.1,12.3,94.6
89,['100+49sin((2pi/36)t)+0e'],40.5,36.7,91.5,12.5,94.6
90,['100+49sin((2pi/39)t)+0e'],40.1,56.5,95.3,12.7,94.6
91,['100+49sin((2pi/35)t)+0e'],39.7,13.4,94.1,13.0,94.6
92,['100+49sin((2pi/37)t)+0e'],39.3,35.8,96.6,13.4,94.6
93,['100+49sin((2pi/36)t)+0e'],38.9,38.1,93.8,13.4,94.6
94,['100+49sin((2pi/36)t)+0e'],38.5,10.9,94.8,13.4,94.6
95,['100+49sin((2pi/35)t)+0e'],38.1,53.5,96.1,13.4,94.7
96,['100+49sin((2pi/39)t)+0e'],37.7,55.7,97.6,13.5,94.7
